                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7829,                 2.0396,                 1.9644,                0.98538,                0.95588,                0.98319,                0.53602,                  1.601,                0.79483,                 1.9541,               0.070476,              0.0032804,              0.0032804
                      1,                 1.2362,                0.71761,                 1.4781,                0.98877,                 0.9709,                0.98445,                0.62565,                 1.3966,                0.66288,                 1.5808,                0.04045,              0.0065876,              0.0065876
                      2,                 1.2456,                0.67976,                 1.4675,                0.91476,                0.86798,                0.94431,                0.56584,                 1.3901,                0.81477,                 1.6335,               0.010397,              0.0098683,              0.0098683
                      3,                 1.2652,                0.69959,                 1.3921,                0.92248,                0.88603,                0.92711,                0.41777,                  1.799,                 1.1305,                 1.5649,              0.0098812,              0.0098812,              0.0098812
                      4,                 1.2511,                0.67571,                 1.4017,                0.97086,                0.98003,                0.98449,                0.47991,                 1.7647,                 1.1774,                 1.9695,              0.0098812,              0.0098812,              0.0098812
                      5,                 1.2175,                0.63819,                 1.4019,                0.99621,                0.96628,                0.97706,                0.59271,                 1.4386,                0.57893,                 1.5593,              0.0098416,              0.0098416,              0.0098416
                      6,                  1.198,                 0.6352,                 1.3925,                0.96564,                0.92984,                0.96796,                0.59961,                 1.3021,                0.71325,                 1.5034,               0.009802,               0.009802,               0.009802
                      7,                  1.173,                 0.5994,                 1.3637,                 0.9928,                0.98162,                0.98559,                0.58397,                 1.3806,                 0.6026,                 1.5113,              0.0097624,              0.0097624,              0.0097624
                      8,                  1.176,                0.59329,                 1.3697,                0.99179,                0.97794,                0.98548,                0.62353,                 1.3289,                0.54724,                 1.4818,              0.0097228,              0.0097228,              0.0097228
                      9,                 1.1443,                0.56721,                 1.3652,                0.99461,                0.98162,                 0.9877,                0.63724,                 1.3415,                0.50818,                 1.5518,              0.0096832,              0.0096832,              0.0096832
                     10,                 1.1285,                0.56861,                 1.3677,                0.99244,                0.97059,                0.98468,                0.62537,                 1.3219,                0.50724,                  1.524,              0.0096436,              0.0096436,              0.0096436
                     11,                 1.1105,                0.55911,                 1.3608,                0.98458,                0.93884,                0.97682,                0.57254,                  1.551,                0.58224,                 1.7018,               0.009604,               0.009604,               0.009604
                     12,                 1.1175,                0.55013,                 1.3592,                0.99256,                0.98049,                0.98709,                0.68723,                 1.1377,                 0.4416,                 1.3725,              0.0095644,              0.0095644,              0.0095644
                     13,                 1.0702,                0.52245,                 1.3176,                0.99898,                0.98162,                0.98661,                 0.6448,                 1.3189,                0.49466,                 1.5462,              0.0095248,              0.0095248,              0.0095248
                     14,                 1.0837,                0.52068,                 1.3474,                0.98979,                0.95956,                0.97905,                 0.5588,                 1.5583,                0.57254,                 1.7693,              0.0094852,              0.0094852,              0.0094852
